Полное наименование,ОКПО,ИНН,ОГРН
Непубличное акционерное общество ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ФАСТ-СТРОМ,46464360,7728153100,1027700064292
Общество с ограниченной ответственностью МЕДКОМ - С,46613624,5404143540,1035401488737
Общество с ограниченной ответственностью ЕЗРА-С,46648338,6664046331,1026605768892
Общество с ограниченной ответственностью С И Р ИНТЕРНЕШНЛ,46668016,6661070030,1026605256226
Общество с ограниченной ответственностью УРАЛХИМПРОМ,46773440,5903029634,1025900757190
Общество с ограниченной ответственностью ФИРМА ВОДНАЯ ТЕХНИКА,46834638,7705144212,1037739482813
Общество с ограниченной ответственностью ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ РЕДУТ-С,46846400,7703166771,1027700364493
Общество с ограниченной ответственностью СЕЛЬСКОХОЗЯЙСТВЕННОЕ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НЕФТЯНИК,47074655,1644013120,1021601628542
Общество с ограниченной ответственностью ДИЗАЙН-С,47513801,5405177069,1025401915846
Общество с ограниченной ответственностью МЕГАПОЛИС - С,47651101,6730034405,1026701460048
Общество с ограниченной ответственностью АНТУРАЖ - С,47652365,6730037413,1026701449070
Общество с ограниченной ответственностью МОНОЛИТ- С,47722545,0801001408,1030800507836
Общество с ограниченной ответственностью ЛИС С,47727956,6450033053,1036405003766
Общество с ограниченной ответственностью ЧАСТНАЯ ОХРАННАЯ ОРГАНИЗАЦИЯ ТОРНАДО - С,47729300,6454038790,1026403062730
Общество с ограниченной ответственностью ВОЛГАЭЛЕКТРОМОНТАЖ - С,47737452,6453047223,1026403054017
Общество с ограниченной ответственностью РОСС-С,47746089,6454040069,1026403350445
Общество с ограниченной ответственностью ТЕХКОМПЛЕКТ-С,47764443,6452056779,1036405201986
Общество с ограниченной ответственностью С.ОВИН,47777397,2634038199,1022601940173
Общество с ограниченной ответственностью ЗВЕЗДА-С,47826210,2461018243,1022401950801
Общество с ограниченной ответственностью ПРОИЗВОДСТВЕННО - КОММЕРЧЕСКАЯ ФИРМА НЕДРА - С,48098698,6383004350,1026303062390
Общество с ограниченной ответственностью СТРОЙКОМПЛЕКТ-С,48101294,6381006232,1026303909862
Непубличное акционерное общество ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЭЛЬТ-С,48135941,6315545030,1036300447810
Общество с ограниченной ответственностью САМАРСКИЕ ОКОННЫЕ КОНСТРУКЦИИ,48140147,6325024735,1026303065073
Общество с ограниченной ответственностью ВИС С-РЕСУРС,48145044,6382020046,1026303947867
Общество с ограниченной ответственностью АТЛАНТ-С,48147020,6316053313,1026301170697
Общество с ограниченной ответственностью СИРИУС-С,48147959,6367655203,1036302394677
Общество с ограниченной ответственностью ТРИ С,48159081,6318115822,1026301525370
Общество с ограниченной ответственностью РЕСПЕКТ-С,48185003,6312037840,1036300558282
Общество с ограниченной ответственностью МИСК-С,48267830,6125019287,1026101409586
Общество с ограниченной ответственностью ПЛЁС-С,48297067,1215017334,1021201250047
Общество с ограниченной ответственностью МРАМОРИТ - С,48410517,5908018763,1025901609524
Общество с ограниченной ответственностью ТЕЛЕКС-С,48421679,5906039165,1025901371605
Общество с ограниченной ответственностью ВОЛЖСКО-КАМСКОЕ СУДОХОДНОЕ ОБЩЕСТВО,48427943,5902131346,1025900519149
Общество с ограниченной ответственностью ОБЩЕСТВО КНИГОЛЮБОВ,48441328,2306016932,1022301118564
Общество с ограниченной ответственностью РОБОТ С,48499753,7705177592,1037700108665
Общество с ограниченной ответственностью ТЕХНИКА-С,48627464,4230013876,1024202006861
Общество с ограниченной ответственностью ЛАМЗУРЬ С,48656431,1326224495,1131326001421
Общество с ограниченной ответственностью ДИЗАЙН С,48706100,1639015387,1021601371208
Общество с ограниченной ответственностью ФУТУРА С.Р.Л.,48755185,3904036084,1023900585884
Публичное акционерное общество ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО КОМБИНАТ СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ,48777595,5023005886,1025004908004
Общество с ограниченной ответственностью ЭСКАЛАДА-С,48987352,7801108506,1027800529096
Общество с ограниченной ответственностью ВЕЛМАШ-СЕРВИС,49042961,6025018018,1026000899682
Общество с ограниченной ответственностью РАУТ-С,49078574,5402137244,1025401019050
Общество с ограниченной ответственностью КОМЕТА-С,49150001,5321066404,1025300805947
Общество с ограниченной ответственностью ЗООСЕРВИС С,49245635,2129034031,1022101267726
